,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,region,AC,Cooking,Internet,Pub_Trsp,No_Afac,Washing_Machine,BBQ,Club_House,Gym,Jog,Lift,Minimart,MP_Hall,No_Fac,Parking,Playground,Sauna,Security,Squash,Pool,Tennis
169,1600.0,7,12,2.0,2.0,1020,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
170,1300.0,7,12,1.0,2.0,926,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,2400.0,2,12,2.0,2.0,1313,2,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0
172,1400.0,7,12,0.0,2.0,850,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
173,2500.0,2,12,2.0,3.0,1537,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
174,1200.0,2,12,0.0,2.0,800,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
175,1800.0,2,12,0.0,2.0,1066,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
176,1400.0,8,7,1.0,1.0,450,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1
177,1800.0,2,12,0.0,2.0,850,2,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1
178,550.0,7,14,0.0,3.0,1300,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
179,1000.0,0,12,1.0,2.0,800,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
180,1500.0,2,12,1.0,2.0,1100,2,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1
181,1600.0,2,12,1.0,2.0,1100,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1
182,1400.0,0,12,1.0,2.0,650,2,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
183,1800.0,2,12,1.0,2.0,1200,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
184,1100.0,7,10,0.0,2.0,650,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
185,1488.0,7,12,1.0,2.0,819,2,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
186,1500.0,2,12,1.0,2.0,850,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,2200.0,0,12,1.0,2.0,829,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0
188,1400.0,2,10,1.0,2.0,980,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0
189,1500.0,2,12,2.0,2.0,1100,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1
190,1600.0,0,12,0.0,2.0,900,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0
191,1500.0,2,12,1.0,2.0,1185,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,1200.0,2,12,1.0,2.0,931,2,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
193,1500.0,0,12,1.0,2.0,950,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
194,1400.0,2,7,1.0,2.0,775,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0
195,1600.0,2,14,0.0,2.0,1421,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
196,1800.0,2,12,0.0,2.0,1076,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0
197,1600.0,0,12,0.0,2.0,900,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
198,1000.0,0,12,0.0,2.0,750,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
199,1600.0,0,12,1.0,2.0,900,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
200,1600.0,2,12,2.0,2.0,1018,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
