,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
7477,1800,Kuala Lumpur - Setapak,Condominium,3,2.0,2.0,850,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Barbeque area, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7478,1200,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,875,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7479,1200,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,875,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7480,1199,Kuala Lumpur - Setapak,Condominium,3,0.0,2.0,1100,Partially Furnished,"Tennis Court, Barbeque area, Parking, Security, Playground, Sauna, Minimart, Swimming Pool, Gymnasium, Squash Court",None,Kuala Lumpur
7481,1300,Kuala Lumpur - KL City,Service Residence,1,0.0,1.0,466,Fully Furnished,"Lift, Swimming Pool, Security","Air-Cond, Near KTM/LRT, Washing Machine",Kuala Lumpur
7482,2100,Kuala Lumpur - Setapak,Service Residence,3,2.0,2.0,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7483,1900,Kuala Lumpur - Setapak,Service Residence,3,2.0,2.0,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7484,1200,Kuala Lumpur - Desa Petaling,Condominium,3,1.0,2.0,830,Partially Furnished,None,None,Kuala Lumpur
7485,1100,Kuala Lumpur - Bukit Jalil,Condominium,3,0.0,2.0,850,Not Furnished,"Parking, Gymnasium, Security, Lift, Barbeque area, Swimming Pool, Playground, Minimart, Multipurpose hall, Jogging Track, Club house, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7486,1500,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1050,Fully Furnished,"Sauna, Swimming Pool, Gymnasium, Minimart, Security, Tennis Court, Barbeque area, Parking, Playground",None,Kuala Lumpur
7487,1750,Kuala Lumpur - Setapak,Service Residence,3,1.0,2.0,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7488,1700,Kuala Lumpur - Segambut,Condominium,3,1.0,2.0,1019,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7489,1100,Kuala Lumpur - Cheras,Apartment,3,0.0,2.0,730,Not Furnished,"Parking, Swimming Pool, Security, Minimart",None,Kuala Lumpur
7490,3000,Kuala Lumpur - Mont Kiara,Service Residence,1,2.0,2.0,880,Fully Furnished,"Swimming Pool, Jogging Track, Playground, Gymnasium, Lift, Parking, Security, Minimart, Barbeque area",None,Kuala Lumpur
7491,1350,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,850,Partially Furnished,"Parking, Minimart, Playground, Swimming Pool, Security, Barbeque area, Sauna, Gymnasium, Squash Court, Jogging Track, Lift, Tennis Court",None,Kuala Lumpur
7492,750,Kuala Lumpur - Wangsa Maju,Flat,2,0.0,1.0,560,Not Furnished,"Sauna, Parking",None,Kuala Lumpur
7493,1100,Kuala Lumpur - Cheras,Apartment,2,1.0,1.0,657,Partially Furnished,"Lift, Parking, Security, Playground","Air-Cond, Cooking Allowed",Kuala Lumpur
7494,900,Kuala Lumpur - Bukit Jalil,Apartment,2,1.0,2.0,732,Partially Furnished,"Security, Playground, Minimart, Parking","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
7495,1400,Kuala Lumpur - Cheras,Apartment,3,2.0,2.0,700,Partially Furnished,"Security, Parking, Lift","Cooking Allowed, Near KTM/LRT, Air-Cond, Washing Machine",Kuala Lumpur
7496,1400,Kuala Lumpur - Gombak,Service Residence,4,1.0,2.0,940,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Gymnasium, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7497,2500,Kuala Lumpur - KLCC,Condominium,3,1.0,3.0,1055,Fully Furnished,"Barbeque area, Club house, Minimart, Security, Playground, Gymnasium, Parking, Swimming Pool","Air-Cond, Washing Machine, Cooking Allowed",Kuala Lumpur
7498,1300,Kuala Lumpur - Kepong,Condominium,3,0.0,2.0,1000,Partially Furnished,"Lift, Swimming Pool, Gymnasium, Playground, Minimart, Multipurpose hall",None,Kuala Lumpur
7499,1300,Kuala Lumpur - Keramat,Apartment,3,1.0,2.0,850,Fully Furnished,"Parking, Security, Lift",Cooking Allowed,Kuala Lumpur
7500,1350,Kuala Lumpur - Sentul,Service Residence,3,0.0,2.0,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7501,1200,Kuala Lumpur - Ampang,Apartment,3,0.0,2.0,742,Not Furnished,"Squash Court, Security, Playground, Swimming Pool, Club house, Gymnasium, Minimart, Tennis Court, Barbeque area","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7502,1600,Kuala Lumpur - OUG,Service Residence,3,1.0,2.0,950,Fully Furnished,"Sauna, Minimart, Security, Parking, Squash Court, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7503,2300,Kuala Lumpur - Keramat,Condominium,3,2.0,2.0,1003,Fully Furnished,"Swimming Pool, Multipurpose hall, Parking, Security, Gymnasium, Lift",None,Kuala Lumpur
7504,3500,Kuala Lumpur - KL City,Apartment,3,1.0,2.0,800,Fully Furnished,"Minimart, Swimming Pool, Lift, Parking, Security, Playground, Gymnasium",None,Kuala Lumpur
7505,2500,Kuala Lumpur - Cheras,Condominium,4,2.0,2.0,1000,Fully Furnished,"Playground, Swimming Pool, Parking, Tennis Court, Jogging Track, Barbeque area, Lift, Multipurpose hall, Security",None,Kuala Lumpur
7506,1500,Kuala Lumpur - KL City,Service Residence,1,0.0,1.0,466,Fully Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7507,4000,Kuala Lumpur - KL City,Apartment,3,1.0,2.0,800,Fully Furnished,"Minimart, Swimming Pool, Lift, Parking, Security, Playground, Gymnasium, Multipurpose hall",None,Kuala Lumpur
7508,850,Kuala Lumpur - Kepong,Apartment,3,1.0,2.0,650,Partially Furnished,"Parking, Minimart, Jogging Track, Security, Lift, Playground",None,Kuala Lumpur
7509,4000,Kuala Lumpur - KLCC,Condominium,4,2.0,3.0,1200,Fully Furnished,"Security, Barbeque area, Minimart, Playground, Parking, Swimming Pool, Gymnasium, Club house, Lift, Sauna",None,Kuala Lumpur
7510,2300,Kuala Lumpur - Setiawangsa,Condominium,3,1.0,2.0,1204,Fully Furnished,"Swimming Pool, Parking, Playground, Security, Gymnasium, Lift, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7511,2200,Kuala Lumpur - Titiwangsa,Service Residence,2,1.0,1.0,720,Fully Furnished,"Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7512,1300,Kuala Lumpur - Sri Hartamas,Service Residence,1,0.0,1.0,500,Fully Furnished,"Club house, Parking, Squash Court, Swimming Pool, Gymnasium, Jogging Track, Barbeque area, Sauna, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7513,1300,Kuala Lumpur - Wangsa Maju,Condominium,3,1.0,2.0,1150,Partially Furnished,"Minimart, Playground, Parking, Gymnasium, Barbeque area, Swimming Pool, Security","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7514,1300,Kuala Lumpur - Wangsa Maju,Condominium,3,1.0,2.0,1152,Partially Furnished,"Security, Swimming Pool, Parking, Gymnasium, Barbeque area, Minimart, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7515,1800,Kuala Lumpur - Mont Kiara,Condominium,1,1.0,1.0,500,Fully Furnished,"Security, Swimming Pool, Lift, Parking, Gymnasium, Squash Court, Playground, Minimart, Jogging Track",None,Kuala Lumpur
7516,1800,Kuala Lumpur - Ampang,Service Residence,2,1.0,2.0,850,Fully Furnished,"Jogging Track, Gymnasium, Parking, Playground, Security, Swimming Pool, Lift","Cooking Allowed, Washing Machine, Air-Cond",Kuala Lumpur
7517,2200,Kuala Lumpur - Titiwangsa,Service Residence,2,1.0,2.0,710,Fully Furnished,"Multipurpose hall, Swimming Pool, Jogging Track, Barbeque area, Security, Playground, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7518,1880,Kuala Lumpur - Taman Desa,Condominium,2,1.0,2.0,900,Fully Furnished,"Tennis Court, Minimart, Gymnasium, Barbeque area, Sauna, Club house, Squash Court, Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Multipurpose hall","Air-Cond, Washing Machine, Cooking Allowed, Internet",Kuala Lumpur
7519,2800,Kuala Lumpur - KLCC,Condominium,2,1.0,1.0,915,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Security, Minimart, Barbeque area, Playground, Sauna, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7520,1400,Kuala Lumpur - Keramat,Apartment,3,1.0,2.0,800,Not Furnished,"Parking, Security, Lift, Playground, Barbeque area, Jogging Track",Near KTM/LRT,Kuala Lumpur
7521,1400,Kuala Lumpur - Sentul,Service Residence,3,0.0,2.0,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7522,2200,Kuala Lumpur - Old Klang Road,Condominium,2,1.0,2.0,729,Fully Furnished,"Sauna, Playground, Jogging Track, Swimming Pool, Security, Barbeque area, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7523,1400,Kuala Lumpur - Sentul,Service Residence,3,0.0,2.0,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7524,2300,Kuala Lumpur - Bukit Jalil,Condominium,3,2.0,2.0,1100,Fully Furnished,"Parking, Multipurpose hall, Sauna, Swimming Pool, Club house, Security, Barbeque area, Lift, Gymnasium, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7525,2800,Kuala Lumpur - Wangsa Maju,Condominium,3,4.0,2.0,1500,Partially Furnished,"Gymnasium, Jogging Track, Barbeque area, Parking, Tennis Court, Playground, Swimming Pool, Sauna, Club house, Security, Squash Court",None,Kuala Lumpur
7526,1800,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1400,Fully Furnished,"Playground, Jogging Track, Barbeque area, Swimming Pool, Tennis Court, Sauna, Minimart, Security, Gymnasium",None,Kuala Lumpur
7527,1200,Kuala Lumpur - Kepong,Apartment,4,1.0,2.0,909,Partially Furnished,"Playground, Minimart, Parking, Security, Swimming Pool, Gymnasium, Jogging Track",None,Kuala Lumpur
7528,3800,Kuala Lumpur - Ampang,Condominium,2,1.0,2.0,1150,Fully Furnished,"Playground, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area, Parking, Club house, Swimming Pool",None,Kuala Lumpur
7529,2000,Kuala Lumpur - Taman Melawati,Apartment,1,1.0,1.0,950,Fully Furnished,"Playground, Swimming Pool, Parking, Minimart, Security, Lift, Jogging Track",None,Kuala Lumpur
7530,1600,Kuala Lumpur - Kepong,Condominium,3,2.0,3.0,932,Partially Furnished,"Security, Playground, Club house, Sauna, Multipurpose hall, Gymnasium, Squash Court, Jogging Track, Minimart, Swimming Pool, Tennis Court, Parking, Lift",None,Kuala Lumpur
7531,1500,Kuala Lumpur - Sentul,Condominium,2,1.0,1.0,646,Partially Furnished,None,None,Kuala Lumpur
7532,4500,Kuala Lumpur - Mont Kiara,Condominium,3,1.0,3.0,2028,Partially Furnished,"Gymnasium, Sauna, Security, Playground, Swimming Pool, Barbeque area, Parking, Tennis Court, Squash Court",None,Kuala Lumpur
7533,2200,Kuala Lumpur - KL City,Condominium,1,1.0,1.0,651,Fully Furnished,"Parking, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Security, Gymnasium",None,Kuala Lumpur
7534,1200,Kuala Lumpur - Kepong,Condominium,3,1.0,2.0,904,Partially Furnished,None,None,Kuala Lumpur
7535,1400,Kuala Lumpur - Sentul,Service Residence,3,0.0,2.0,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7536,1500,Kuala Lumpur - Segambut,Condominium,3,1.0,2.0,1068,Fully Furnished,None,None,Kuala Lumpur
7537,1500,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1400,Partially Furnished,None,None,Kuala Lumpur
7538,1200,Kuala Lumpur - Pandan Perdana,Apartment,3,1.0,2.0,750,Partially Furnished,"Parking, Playground, Minimart","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
7539,1400,Kuala Lumpur - Sentul,Condominium,3,1.0,2.0,1000,Partially Furnished,"Parking, Swimming Pool, Playground, Gymnasium, Minimart, Lift, Security, Barbeque area, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7540,1300,Kuala Lumpur - Sentul,Service Residence,3,0.0,2.0,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7541,1200,Kuala Lumpur - Ampang,Apartment,3,0.0,2.0,828,Partially Furnished,"Security, Minimart, Parking, Swimming Pool, Playground",None,Kuala Lumpur
7542,1550,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,950,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Jogging Track, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7543,1400,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,755,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7544,2300,Kuala Lumpur - Wangsa Maju,Condominium,3,2.0,2.0,1000,Partially Furnished,"Security, Barbeque area, Parking, Multipurpose hall, Swimming Pool, Gymnasium, Jogging Track, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7545,1400,Kuala Lumpur - Sentul,Condominium,3,1.0,2.0,1000,Partially Furnished,"Parking, Swimming Pool, Playground, Gymnasium, Minimart, Lift, Security, Barbeque area, Multipurpose hall",None,Kuala Lumpur
7546,900,Kuala Lumpur - Kepong,Apartment,3,1.0,2.0,850,Partially Furnished,"Parking, Playground, Minimart, Security, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7547,2500,Kuala Lumpur - Desa Pandan,Service Residence,3,2.0,2.0,950,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7548,1700,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,821,Fully Furnished,"Swimming Pool, Barbeque area, Parking, Gymnasium, Jogging Track, Sauna, Multipurpose hall, Security, Playground, Lift, Minimart, Squash Court, Club house, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7549,2600,Kuala Lumpur - Desa Pandan,Service Residence,3,2.0,3.0,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7550,1599,Kuala Lumpur - KL City,Service Residence,1,1.0,1.0,550,Fully Furnished,"Barbeque area, Parking, Security, Playground, Gymnasium, Lift, Minimart, Sauna, Swimming Pool, Squash Court, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
7551,3500,Kuala Lumpur - Mont Kiara,Condominium,3,2.0,2.0,940,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7552,1599,Kuala Lumpur - KL City,Service Residence,1,0.0,1.0,400,Fully Furnished,"Security, Playground, Swimming Pool, Lift, Parking, Gymnasium","Air-Cond, Washing Machine, Near KTM/LRT",Kuala Lumpur
7553,4000,Kuala Lumpur - KLCC,Condominium,4,2.0,3.0,1200,Fully Furnished,"Barbeque area, Gymnasium, Club house, Minimart, Parking, Security, Playground, Swimming Pool, Lift, Jogging Track, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7554,1600,Kuala Lumpur - Pantai,Apartment,3,0.0,2.0,810,Partially Furnished,"Multipurpose hall, Minimart, Playground, Swimming Pool, Parking, Security",None,Kuala Lumpur
7555,2300,Kuala Lumpur - Keramat,Condominium,4,2.0,2.0,1184,Fully Furnished,"Tennis Court, Squash Court, Sauna, Swimming Pool, Lift, Security, Minimart, Playground, Parking, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7556,1400,Kuala Lumpur - Sentul,Condominium,3,2.0,2.0,1316,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7557,1600,Kuala Lumpur - Pantai,Apartment,3,0.0,2.0,810,Partially Furnished,"Multipurpose hall, Minimart, Playground, Swimming Pool, Parking, Security","Cooking Allowed, Washing Machine",Kuala Lumpur
7558,1400,Kuala Lumpur - Sentul,Service Residence,2,1.0,1.0,650,Partially Furnished,"Playground, Gymnasium, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Jogging Track, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7559,1700,Kuala Lumpur - Jalan Sultan Ismail,Service Residence,3,1.0,2.0,923,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7560,1200,Kuala Lumpur - Sentul,Service Residence,2,1.0,1.0,650,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7561,1299,Kuala Lumpur - Setapak,Condominium,4,1.0,2.0,1297,Partially Furnished,"Gymnasium, Playground, Swimming Pool, Parking, Security, Minimart",None,Kuala Lumpur
7562,1500,Kuala Lumpur - Keramat,Others,1,1.0,1.0,800,Partially Furnished,"Parking, Security, Playground, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
7563,3500,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,1068,Fully Furnished,"Barbeque area, Gymnasium, Security, Multipurpose hall, Swimming Pool","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7564,2000,Kuala Lumpur - Setapak,Service Residence,3,2.0,2.0,1000,Partially Furnished,None,None,Kuala Lumpur
7565,1299,Kuala Lumpur - Setapak,Condominium,4,1.0,2.0,1297,Partially Furnished,"Gymnasium, Playground, Swimming Pool, Parking, Security, Minimart",None,Kuala Lumpur
7566,1400,Kuala Lumpur - Cheras,Studio,1,2.0,1.0,526,Fully Furnished,None,None,Kuala Lumpur
7567,1800,Kuala Lumpur - Sungai Besi,Condominium,2,1.0,2.0,855,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
7568,1300,Kuala Lumpur - Bangsar South,Flat,3,0.0,2.0,720,Fully Furnished,None,"Washing Machine, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7569,4400,Kuala Lumpur - Bangsar South,Service Residence,4,2.0,3.0,1184,Fully Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Jogging Track, Parking, Security, Playground, Lift, Barbeque area, Club house","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
7570,1800,Kuala Lumpur - Sri Hartamas,Service Residence,1,0.0,1.0,595,Fully Furnished,"Security, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7571,1900,Kuala Lumpur - Wangsa Maju,Service Residence,3,2.0,2.0,827,Fully Furnished,"Parking, Swimming Pool, Security, Lift, Playground, Jogging Track, Multipurpose hall, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7572,1999,Kuala Lumpur - Sentul,Condominium,2,1.0,2.0,900,Fully Furnished,None,None,Kuala Lumpur
7573,2399,Kuala Lumpur - KLCC,Service Residence,3,0.0,2.0,885,Fully Furnished,"Security, Tennis Court, Gymnasium, Playground, Lift, Swimming Pool, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
7574,2699,Kuala Lumpur - Sri Petaling,Condominium,4,3.0,5.0,1891,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7575,1200,Kuala Lumpur - Kepong,Apartment,3,2.0,2.0,800,Partially Furnished,"Parking, Security, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7576,1300,Kuala Lumpur - Sentul,Service Residence,2,1.0,2.0,650,Partially Furnished,"Jogging Track, Barbeque area, Parking, Security, Playground, Multipurpose hall, Swimming Pool, Gymnasium, Lift, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7577,1100,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,850,Partially Furnished,"Parking, Security, Swimming Pool, Gymnasium, Playground, Barbeque area, Minimart, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
7578,4300,Kuala Lumpur - Pantai,Condominium,4,2.0,2.0,1400,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Swimming Pool, Parking, Playground, Lift","Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT",Kuala Lumpur
7579,3800,Kuala Lumpur - Taman Tun Dr Ismail,Condominium,2,2.0,3.0,1600,Fully Furnished,"Jogging Track, Security, Swimming Pool, Playground, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7580,603,Kuala Lumpur - Serdang,Condominium,2,1.0,1.0,590,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",Cooking Allowed,Kuala Lumpur
7581,1500,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7582,1600,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,1250,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
7583,1400,Kuala Lumpur - Setiawangsa,Apartment,3,0.0,1.0,900,Partially Furnished,"Parking, Playground, Minimart, Barbeque area",Cooking Allowed,Kuala Lumpur
7584,2150,Kuala Lumpur - Wangsa Maju,Condominium,4,1.0,2.0,1268,Partially Furnished,"Security, Parking, Playground, Lift, Swimming Pool, Gymnasium, Sauna, Barbeque area, Minimart, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7585,1700,Kuala Lumpur - Sentul,Condominium,3,1.0,2.0,1009,Fully Furnished,"Security, Minimart, Playground, Multipurpose hall, Swimming Pool, Jogging Track",None,Kuala Lumpur
7586,1800,Kuala Lumpur - Taman Melawati,Service Residence,3,1.0,2.0,1001,Partially Furnished,"Swimming Pool, Parking, Security, Gymnasium, Multipurpose hall, Lift, Playground, Barbeque area, Minimart","Cooking Allowed, Air-Cond",Kuala Lumpur
7587,2600,Kuala Lumpur - Cheras,Service Residence,4,2.0,3.0,1054,Fully Furnished,"Squash Court, Jogging Track, Minimart, Swimming Pool, Parking, Gymnasium, Playground, Security, Tennis Court, Lift, Sauna, Barbeque area, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
7588,900,Kuala Lumpur - Cheras,Apartment,3,0.0,1.0,650,Partially Furnished,"Playground, Lift, Minimart",None,Kuala Lumpur
7589,1500,Kuala Lumpur - Sentul,Condominium,3,1.0,2.0,1130,Not Furnished,"Tennis Court, Minimart, Gymnasium, Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
7590,1000,Kuala Lumpur - Desa Pandan,Apartment,3,0.0,1.0,700,Not Furnished,"Parking, Security",Cooking Allowed,Kuala Lumpur
7591,800,Kuala Lumpur - Wangsa Maju,Apartment,2,0.0,1.0,550,Not Furnished,None,Cooking Allowed,Kuala Lumpur
7592,1450,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,850,Partially Furnished,"Sauna, Minimart, Playground, Tennis Court, Squash Court, Parking, Barbeque area, Security, Swimming Pool, Lift, Gymnasium, Jogging Track",None,Kuala Lumpur
