,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
15630,1800,Selangor - Cheras,Condominium,2.0,0.0,3.0,1162,Partially Furnished,None,None,Selangor
15631,1200,Selangor - Puchong,Condominium,3.0,2.0,2.0,1098,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Tennis Court","Air-Cond, Washing Machine, Cooking Allowed",Selangor
15632,500,Selangor - Cheras,Apartment,2.0,0.0,1.0,517,Not Furnished,None,Cooking Allowed,Selangor
15633,850,Selangor - Seri Kembangan,Condominium,3.0,1.0,2.0,901,Partially Furnished,"Gymnasium, Security, Tennis Court, Minimart, Parking, Playground, Swimming Pool, Lift, Multipurpose hall, Barbeque area",Near KTM/LRT,Selangor
15634,1150,Selangor - Sepang,Apartment,1.0,0.0,1.0,450,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Parking, Barbeque area, Minimart","Air-Cond, Cooking Allowed",Selangor
15635,1800,Selangor - Cyberjaya,Condominium,3.0,2.0,2.0,1000,Partially Furnished,"Security, Minimart, Swimming Pool, Jogging Track, Parking, Playground, Gymnasium, Lift, Sauna, Barbeque area, Multipurpose hall, Club house",None,Selangor
15636,1200,Selangor - Cyberjaya,Apartment,3.0,2.0,2.0,1000,Partially Furnished,"Parking, Security, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
15637,2000,Selangor - Cyberjaya,Condominium,3.0,2.0,2.0,1000,Partially Furnished,None,None,Selangor
15638,2200,Selangor - Cyberjaya,Condominium,2.0,2.0,2.0,795,Fully Furnished,"Security, Playground, Gymnasium, Swimming Pool, Barbeque area, Sauna, Parking, Lift, Club house, Jogging Track, Minimart, Multipurpose hall",None,Selangor
15639,850,Selangor - Semenyih,Condominium,3.0,0.0,2.0,850,Partially Furnished,None,None,Selangor
15640,800,Selangor - Puchong,Flat,3.0,0.0,1.0,650,Not Furnished,"Jogging Track, Minimart, Parking, Playground","Cooking Allowed, Near KTM/LRT",Selangor
15641,850,Selangor - Cyberjaya,Condominium,1.0,1.0,1.0,650,Not Furnished,"Gymnasium, Barbeque area, Playground, Swimming Pool, Sauna, Security, Lift, Parking","Cooking Allowed, Air-Cond",Selangor
15642,3000,Selangor - Ampang,Service Residence,2.0,1.0,1.0,650,Fully Furnished,"Swimming Pool, Tennis Court, Minimart, Parking, Playground, Gymnasium, Sauna, Multipurpose hall, Security, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15643,800,Selangor - Semenyih,Service Residence,3.0,0.0,2.0,900,Not Furnished,None,None,Selangor
15644,900,Selangor - Kapar,Apartment,3.0,0.0,2.0,850,Not Furnished,"Parking, Security, Lift, Playground",Cooking Allowed,Selangor
15645,2100,Selangor - 389,Service Residence,3.0,2.0,2.0,1000,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15646,1600,Selangor - Kuala Langat,Condominium,3.0,2.0,2.0,1000,Fully Furnished,"Minimart, Squash Court, Lift, Club house, Security, Gymnasium, Parking, Playground, Swimming Pool","Air-Cond, Cooking Allowed",Selangor
15647,1250,Selangor - Shah Alam,Apartment,3.0,1.0,2.0,1044,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Squash Court, Minimart",None,Selangor
15648,1700,Selangor - Bandar Sunway,Condominium,3.0,1.0,2.0,1468,Fully Furnished,"Gymnasium, Minimart, Playground, Security, Squash Court, Parking, Lift, Swimming Pool, Tennis Court, Barbeque area, Sauna, Jogging Track","Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine",Selangor
15649,1600,Selangor - Cheras,Service Residence,1.0,1.0,1.0,551,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
15650,2200,Selangor - Petaling Jaya,Condominium,2.0,1.0,2.0,1206,Fully Furnished,"Playground, Security, Squash Court, Parking, Gymnasium, Lift, Swimming Pool, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
15651,1000,Selangor - Klang,Condominium,3.0,1.0,3.0,1400,Not Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Minimart, Playground, Jogging Track, Security, 10, 11",None,Selangor
